Gene,CD28_CD4+,CD28_CD8+,KIR_CD4+,KIR_CD8+
SMURF1,1,0,0,0
PSTPIP1,1,1,0,0
EVI2A,1,1,0,0
SLC43A1,0,1,0,0
TNIP1,1,1,0,0
IFNAR1,1,1,0,0
LDLR,1,1,1,0
P2RY8,0,1,0,0
LCP2,1,0,0,0
SERINC5,1,1,0,0
IL2RA,1,1,0,0
TSG101,1,1,0,0
CNNM3,1,1,0,0
LDLR,1,1,1,0
ADGRE5,1,1,0,0
CD6,1,1,0,0
SLC16A7,1,1,1,0
PLXNA1,1,1,0,0
DUT,1,0,0,0
CLDND1,1,1,0,0
CD6,1,1,0,0
LY75,1,1,0,0
TNFRSF18,1,0,0,0
SLC6A6,1,1,0,0
PDCD6IP,1,1,0,0
PTPRA,1,1,0,0
IL2RB,1,1,0,0
SEMA4C,1,1,0,0
CARD11,1,0,0,0
OTUB1,0,1,0,0
HLA-B,1,1,0,0
RECK,1,1,0,0
CD226,1,1,0,0
FNBP1,1,1,0,0
GGA3,1,0,0,0
TRAC,1,1,0,0
IL3RA,1,0,0,0
ECE1,1,1,0,0
PTPRA,1,1,0,0
CYBRD1,1,1,0,0
HLA-C,1,1,0,0
LAX1,1,1,0,0
SPN,1,1,0,0
BTN3A3,1,1,0,0
VLDLR,1,1,0,0
HLA-A,1,1,0,0
CD27,1,1,0,0
IL2RB,1,1,0,0
CPM,1,0,0,0
BOLA2B,1,1,0,0
HLA-C,1,1,0,0
GRAP2,1,1,0,0
LAX1,1,1,0,0
ITGA2,1,1,0,0
CSK,1,1,0,0
LAIR1,1,1,0,0
SDF4,1,0,0,0
SEMA7A,0,1,0,0
PDCD1LG2,1,0,0,0
CEMIP2,1,1,0,0
TPP2,1,1,0,0
SLC1A4,1,1,0,0
RHOF,1,0,0,0
SLC4A7,1,1,0,0
TMBIM1,1,1,0,0
HLA-A,1,1,0,0
CD6,1,1,0,0
BSG,1,1,0,0
ICAM3,1,1,0,0
PDCD6IP,1,1,0,0
CBL,1,0,0,0
TK1,1,1,0,0
ITGA4,1,1,0,0
HLA-C,1,1,0,0
CEP55,1,1,0,0
VLDLR,1,1,0,0
CHEK1,1,1,0,0
CD96,1,1,0,0
ERBIN,1,1,0,0
HLA-B,1,1,0,0
CSF1,1,0,0,0
JAML,1,1,0,0
CD5,1,1,0,0
CASK,0,1,0,0
SH2D2A,1,1,0,0
SELPLG,1,1,0,0
ARF6,1,0,0,0
VAV1,1,1,0,0
LY75,1,1,0,0
ITGA5,1,1,0,0
PLXNA1,1,1,0,0
GTF2I,1,1,0,0
PSTPIP1,1,1,0,0
HLA-A,1,1,0,0
TNFRSF1B,1,1,0,0
TMBIM1,1,1,0,0
NEO1,1,0,0,0
LNPEP,1,1,0,0
HLA-A,1,1,0,0
BST2,1,1,0,0
GPR15,1,1,0,0
ERBIN,1,1,0,0
ADAM19,1,0,0,0
CSNK1G1,1,1,0,0
CD300A,1,0,0,0
PSME2,0,1,0,0
NEDD4,1,1,0,0
TNFRSF1B,1,1,0,0
SLC1A4,1,1,0,0
LAT2,1,1,0,0
CNN2,1,1,0,0
CEP55,1,1,0,0
SLAMF6,1,1,0,0
SLC1A5,1,1,0,0
HLA-A,1,1,0,0
HLA-B,1,1,0,0
BST2,1,1,0,0
FYN,1,1,0,0
VAV1,1,1,0,0
EPS15,1,1,0,0
BOLA2B,1,1,0,0
SLC2A1,1,1,0,0
HLA-A,1,1,0,0
HLA-C,1,1,0,0
LAIR1,1,1,0,0
ATXN10,0,1,0,0
BSG,1,1,0,0
NPTN,0,1,0,0
CD2,1,1,0,0
SLAMF6,1,1,0,0
CD96,1,1,0,0
PTK2B,1,1,0,0
DSTN,1,0,0,0
SH2D2A,1,1,0,0
TRPV2,1,1,0,0
TFRC,1,1,0,0
SLC2A1,1,1,0,0
CSK,1,1,0,0
HLA-C,1,1,0,0
AP2M1,1,1,0,0
PRKCQ,1,1,0,0
GLIPR1,0,1,0,0
ITGA5,1,1,0,0
TNIP1,1,1,0,0
CEMIP2,1,1,0,0
CD2,1,1,0,0
ECE1,1,1,0,0
SEMA4A,1,1,0,0
PTK2B,1,1,0,0
SLC4A7,1,1,0,0
TRAC,1,1,0,0
TPP2,1,1,0,0
LAT2,1,1,0,0
TCAF2,1,1,0,0
TCAF2,1,1,0,0
RTF2,0,1,0,0
LGALS9,1,1,0,0
SLC29A1,1,1,0,0
AP2A1,1,0,1,0
HLA-DQA1,1,1,1,0
SLC6A6,1,1,0,0
APOB,1,1,0,0
JAML,1,1,0,0
PECAM1,0,1,0,0
LGALS3,1,0,0,0
PRKCQ,1,1,0,0
SLC1A5,1,1,0,0
GPR15,1,1,0,0
TK1,1,1,0,0
LGALS9,1,1,0,0
KCNAB2,1,1,0,0
KLC1,0,1,0,0
SEMA4B,1,0,0,0
INPP5D,1,1,0,0
ADAM10,1,0,0,0
NEK9,0,1,0,0
SEMA4C,1,1,0,0
AIP,0,1,0,0
SLC29A1,1,1,0,0
NUCB1,1,1,0,0
FNBP1,1,1,0,0
HBA2,0,1,0,0
APOB,1,1,0,0
RAB8A,1,1,0,0
INPP5D,1,1,0,0
TYK2,1,1,0,0
DOK2,1,0,0,0
TAOK2,1,0,0,0
GGT1;GGT2P;GGT3P,1,0,0,0
DPP4,1,0,0,0
EPS15,1,1,0,0
PLCG1,1,0,0,0
AP2A2,1,0,0,0
LNPEP,1,1,0,0
ITGA2,1,1,0,0
TFRC,1,1,0,0
FYN,1,1,0,0
ACVR1,1,0,0,0
TRAT1,1,0,0,0
TNFRSF14,1,0,0,0
ICOS,1,0,0,0
KRIT1,1,0,0,0
SLC4A7,1,1,0,0
NIBAN2,1,0,0,0
SLC26A6,1,0,0,0
CD4,1,0,1,0
FAS,1,0,0,0
RHOG,1,0,0,0
DOK1,1,0,0,0
SCAMP3,1,0,0,0
SLC5A6,1,0,0,0
CD3D,1,0,0,0
NECAP2,1,0,0,0
ITSN2,1,0,0,0
SEMA4A,1,1,0,0
SLC38A1,1,0,0,0
CYBRD1,1,1,0,0
TYK2,1,1,0,0
ANXA6,1,0,0,0
TGFBR1,1,1,0,0
BTN3A3,1,1,0,0
CD58,1,0,0,0
MCMBP,1,0,0,0
TOM1,1,0,0,0
TBC1D10B,1,0,0,0
SNX9,1,0,0,0
SLC4A7,1,1,0,0
AP2M1,1,1,0,0
LCK,1,0,0,0
NOTCH2,1,0,0,0
SLC7A1,1,0,0,0
PTPN22,1,0,0,0
FURIN,1,0,0,0
RAB8A,1,1,0,0
CAPZB,1,0,0,0
LMAN2,1,0,0,0
ITGB7,1,0,0,0
STX18,1,0,0,0
CCM2,1,0,0,0
MAP4K1,1,0,0,0
CSNK1G1,1,1,0,0
NOTCH1,1,0,0,0
EFR3A,1,0,0,0
NT5E,1,0,0,0
SLAMF1,1,0,0,0
CD99,1,0,0,0
HLA-DPB1,1,0,0,0
STAT3,1,0,0,0
SELPLG,1,1,0,0
RIPK3,1,0,0,0
AP2B1,1,0,0,0
PPP1CB,1,0,0,0
SNX20,1,0,0,0
YES1,1,0,0,0
GNA15,1,0,0,0
CD101,1,0,0,0
SIT1,1,0,0,0
CD3E,1,0,0,0
FLOT1,1,0,0,0
PIEZO1,1,0,0,0
SORL1,1,0,0,0
CTLA4,1,0,0,0
FAM126A,1,0,0,0
MYO1F,1,0,0,0
